ViralOTU	SRR8653090	SRR8653247	SRR8653248	SRR8652861	SRR8653245	SRR8653221	SRR8653084	SRR8653218	SRR8652914	SRR8652969
vOTU_628	22	270	0	2	37	7	1515	1	34	14
vOTU_1389	0	36	55	243	730	426	1815	273	0	101
vOTU_1105	58	328	21	349	0	11	18	5	4926	1145
vOTU_1148	369	28	12	161	2306	3	78	64	84	27
vOTU_1330	0	0	0	0	0	411	0	0	0	0
vOTU_540	1293	2907	205	1118	9	564	1094	24	10534	3058
vOTU_1270	0	0	0	0	0	228	0	0	0	0
vOTU_595	0	0	0	0	0	672	0	0	0	0
vOTU_1689	0	2	9	0	106	360	37	3	0	0
vOTU_611	0	19	220	2	58	1372	4	8	0	0
vOTU_774	6	7	146	741	24	22	2	1627	0	2538
vOTU_1699	458	1719	23	24	36	109	511	18	3541	638
vOTU_1193	0	0	0	0	0	0	196	0	0	0
vOTU_1004	0	0	0	0	0	0	5192	0	0	0
vOTU_512	2346	7339	420	97	65	2473	3255	49	19669	4337
vOTU_1291	0	0	0	2	0	0	0	0	5102	0
vOTU_1655	43	0	1	138	83	0	53	23	17	0
vOTU_809	0	0	16	0	58	0	513	0	0	0
vOTU_1076	0	0	0	0	0	4	0	0	0	959
vOTU_517	1622	226	10	10	0	10	0	10	22	2
vOTU_382	0	0	1	0	2	0	0	1085	0	0
vOTU_354	0	208	0	0	0	481	1079	0	0	0
vOTU_1293	1	0	31	1	5	21	516	0	0	0
vOTU_706	0	0	0	0	0	799	0	0	0	0
vOTU_777	31	4	6	81	0	781	0	1	0	5
vOTU_634	0	0	0	0	0	228	488	0	0	0
vOTU_1078	0	30	192	0	122	2251	24	23	0	0
vOTU_1260	0	0	40	21	2	46	448	11	0	2
vOTU_1039	510	192	352	292	372	56	73	0	39	152
vOTU_1371	0	0	0	0	0	195	0	0	0	0
vOTU_32	3396	5992	93	4332	22	868	2253	89	14720	3986
vOTU_497	7224	1432	158	63	11	97	204	4	1440	449
vOTU_1449	0	3	38	12	457	145	212	13	0	19
vOTU_1765	0	0	0	0	0	0	0	0	189	0
vOTU_891	22	58	4566	322	145	996	36	315	51	323
vOTU_1748	22	2153	0	45	4	23	912	12	3956	376
vOTU_1766	13	15	22	0	4	1	430	0	226	384
vOTU_1298	4	0	0	136	0	231	0	0	0	0
vOTU_1139	0	9	165	0	124	2161	6	19	0	0
vOTU_356	0	130	0	2	0	1308	1299	0	3	1
vOTU_1524	310	2608	1	56	25	139	160	5	4315	921
vOTU_465	0	0	5	12	83	5	1080	6	0	8
vOTU_1456	39	0	0	0	0	0	0	0	2	5947
vOTU_1235	0	0	348	0	0	0	0	1	0	0
vOTU_490	98	128	25	20	40	75	1009	3	397	530
vOTU_1046	0	50	0	0	0	1428	345	0	1	0
vOTU_1031	0	20	217	15	0	220	8	64	0	0
vOTU_1067	1	40	25	235	0	20	99	4	327	583
vOTU_1115	0	0	0	876	0	1	1905	0	0	159
vOTU_1362	247	0	36	25	33	0	0	0	0	0
vOTU_313	0	0	0	301	7754	0	10	20	0	0
